x,y,z
-59.598458,56.369395,1.666415
-59.814554,56.579296,1.665265
-60.030794,56.788905,1.664326
-60.247168,56.998369,1.663519
-60.463669,57.207785,1.662740
-60.680254,57.417304,1.661900
-60.896869,57.627051,1.660929
-61.113443,57.837029,1.659795
-61.329977,58.047101,1.658535
-61.546606,58.257094,1.657158
-61.763360,58.467023,1.655649
-61.980162,58.677015,1.653998
-62.196984,58.887133,1.652201
-62.413803,59.097425,1.650262
-62.630559,59.307964,1.648203
-62.847204,59.518791,1.646092
-63.063708,59.729910,1.644015
-63.280019,59.941307,1.642045
-63.496114,60.152986,1.640233
-63.711993,60.364961,1.638608
-63.927633,60.577217,1.637183
-64.143016,60.789729,1.635923
-64.358136,61.002487,1.634772
-64.572987,61.215475,1.633679
-64.787564,61.428675,1.632613
-65.001869,61.642069,1.631579
-65.215903,61.855641,1.630598
-65.429655,62.069353,1.629696
-65.643142,62.283197,1.628885
-65.856387,62.497189,1.628142
-66.069394,62.711327,1.627430
-66.282159,62.925592,1.626718
-66.494671,63.139966,1.625983
-66.706942,63.354453,1.625211
-66.919010,63.569085,1.624396
-67.130889,63.783862,1.623560
-67.342562,63.998763,1.622727
-67.553955,64.213693,1.621937
-67.765110,64.428684,1.621216
-67.976148,64.643864,1.620567
-68.187061,64.859228,1.620000
-68.397823,65.074749,1.619521
-68.608459,65.290460,1.619109
-68.818972,65.506373,1.618731
-69.029342,65.722481,1.618365
-69.239568,65.938794,1.618007
-69.449653,66.155306,1.617660
-69.659613,66.371878,1.617326
-69.869575,66.588166,1.617020
-70.079660,66.803989,1.616753
-70.289875,67.019511,1.616521
-70.500204,67.234876,1.616301
-70.710642,67.450129,1.616072
-70.921162,67.665375,1.615816
-71.131719,67.880728,1.615526
-71.342281,68.096241,1.615215
-71.552800,68.311902,1.614867
-71.762911,68.527219,1.614458
-71.972177,68.741378,1.614060
-72.180927,68.954407,1.613697
-72.389461,69.166700,1.613376
-72.597691,69.378323,1.613111
-72.805677,69.589385,1.612905
-73.013583,69.800145,1.612732
-73.221447,70.010774,1.612575
-73.429280,70.221355,1.612427
-73.637127,70.432001,1.612284
-73.844965,70.642765,1.612149
-74.052781,70.853689,1.612031
-74.260633,71.064882,1.611917
-74.468528,71.276389,1.611790
-74.676476,71.488102,1.611631
-74.884619,71.699689,1.611435
-75.093105,71.910882,1.611216
-75.301943,72.121771,1.610987
-75.511095,72.332543,1.610759
-75.720549,72.543247,1.610538
-75.930338,72.753785,1.610331
-76.140570,72.963963,1.610143
-76.351260,73.173805,1.609981
-76.562325,73.383503,1.609845
-76.773710,73.593168,1.609734
-76.985391,73.802802,1.609636
-77.197417,74.012217,1.609536
-77.409891,74.221157,1.609421
-77.622804,74.429651,1.609287
-77.836077,74.637899,1.609134
-78.049669,74.846011,1.608969
-78.263545,75.053999,1.608795
-78.477659,75.261651,1.608613
-78.691990,75.468589,1.608428
-78.906547,75.674514,1.608238
-79.121344,75.879287,1.608040
-79.336400,76.083032,1.607831
-79.551741,76.286054,1.607616
-79.767389,76.488610,1.607404
-79.983357,76.690918,1.607204
-80.199652,76.893199,1.607022
-80.416292,77.095564,1.606854
-80.633354,77.297837,1.606701
-80.850942,77.499717,1.606567
-81.069134,77.700984,1.606456
-81.287969,77.901523,1.606363
-81.507421,78.101450,1.606276
-81.727410,78.301050,1.606186
-81.947851,78.500556,1.606089
-82.168687,78.700080,1.605978
-82.389925,78.899489,1.605855
-82.611622,79.098488,1.605730
-82.833824,79.296846,1.605608
-83.056544,79.494459,1.605490
-83.279723,79.691478,1.605370
-83.503246,79.888222,1.605245
-83.727014,80.084947,1.605115
-83.950941,80.281858,1.604985
-84.174946,80.479139,1.604854
-84.398983,80.676751,1.604714
-84.623101,80.874341,1.604577
-84.847431,81.071584,1.604451
-85.072057,81.268267,1.604339
-85.296986,81.464310,1.604247
-85.522168,81.659913,1.604174
-85.747529,81.855363,1.604112
-85.972991,82.050861,1.604058
-86.198475,82.246587,1.604005
-86.423928,82.442673,1.603940
-86.649364,82.638954,1.603860
-86.874868,82.835049,1.603775
-87.100544,83.030683,1.603692
-87.326461,83.225694,1.603612
-87.552602,83.420125,1.603535
-87.778886,83.614255,1.603457
-88.005238,83.808345,1.603376
-88.231600,84.002579,1.603294
-88.457909,84.197148,1.603214
-88.684122,84.392160,1.603127
-88.910267,84.587432,1.603031
-89.136418,84.782628,1.602940
-89.362608,84.977731,1.602861
-89.588787,85.172956,1.602794
-89.814909,85.368412,1.602741
-90.040942,85.564183,1.602701
-90.266845,85.760410,1.602667
-90.492586,85.957137,1.602624
-90.718214,86.154133,1.602564
-90.943835,86.351001,1.602492
-91.169529,86.547431,1.602414
-91.395319,86.743214,1.602340
-91.621222,86.938409,1.602276
-91.847205,87.133322,1.602218
-92.073184,87.328212,1.602167
-92.299086,87.523270,1.602122
-92.524847,87.718724,1.602078
-92.750385,87.914738,1.602027
-92.975600,88.111278,1.601964
-93.200374,88.308233,1.601903
-93.424553,88.505744,1.601854
-93.647931,88.704134,1.601815
-93.870288,88.903658,1.601792
-94.091389,89.104531,1.601788
-94.310999,89.306998,1.601801
-94.528877,89.511259,1.601825
-94.744779,89.717459,1.601856
-94.958476,89.925720,1.601887
-95.169783,90.136129,1.601913
-95.378544,90.348731,1.601932
-95.584614,90.563562,1.601944
-95.787871,90.780659,1.601951
-95.988218,91.000046,1.601944
-96.185536,91.221773,1.601997
-96.379525,91.446011,1.602315
-96.569741,91.672993,1.603008
-96.755814,91.902907,1.604233
-96.937458,92.135875,1.606126
-97.114363,92.371993,1.608723
-97.286224,92.611327,1.611999
-97.452930,92.853838,1.615890
-97.614626,93.099354,1.620340
-97.771515,93.347663,1.625278
-97.923784,93.598569,1.630624
-98.071643,93.851910,1.636309
-98.215253,94.107598,1.642278
-98.354524,94.365640,1.648500
-98.489014,94.626142,1.654895
-98.618262,94.889205,1.661356
-98.741973,95.154846,1.667746
-98.859863,95.423048,1.673881
-98.971627,95.693761,1.679519
-99.077043,95.966916,1.684538
-99.175975,96.242424,1.688875
-99.268290,96.520175,1.692494
-99.353866,96.800043,1.695377
-99.432694,97.081864,1.697526
-99.504916,97.365424,1.698958
-99.570843,97.650492,1.699692
-99.630974,97.936853,1.699791
-99.685833,98.224296,1.699346
-99.735834,98.512611,1.698453
-99.781368,98.801692,1.697235
-99.822821,99.091496,1.695812
-99.860519,99.381946,1.694290
-99.894756,99.673000,1.692750
-99.925836,99.964659,1.691255
-99.954080,100.256938,1.689860
-99.979793,100.549917,1.688606
-100.003252,100.843719,1.687516
-100.024714,101.138448,1.686603
-100.044416,101.434198,1.685855
-100.062713,101.730889,1.685205
-100.080138,102.028098,1.684532
-100.096710,102.324721,1.683844
-100.111506,102.618564,1.683228
-100.123565,102.907281,1.682798
-100.132382,103.189080,1.682692
-100.137613,103.462423,1.682891
-100.139186,103.726033,1.683278
-100.137310,103.979117,1.683749
-100.130765,104.268484,1.684262
-100.119991,104.542343,1.684505
-100.105959,104.801453,1.684408
-100.087243,105.086589,1.683797
-100.068459,105.357066,1.682152
-100.052988,105.620856,1.679824
-100.044559,105.885250,1.677860
-100.046126,106.156248,1.676576
-100.058886,106.438545,1.675947
-100.078181,106.691639,1.675827
-100.103904,106.955967,1.675843
-100.134478,107.231687,1.675866
-100.168177,107.518486,1.675835
-100.203202,107.815631,1.675703
-100.232133,108.070376,1.675566
-100.260088,108.330934,1.675427
