x,y
-100.668460,106.467202
-100.673687,106.761657
-100.679478,107.055232
-100.685946,107.347867
-100.693200,107.639565
-100.701346,107.930363
-100.710498,108.220251
-100.720765,108.509251
-100.732226,108.797444
-100.744924,109.084912
-100.758872,109.371714
-100.774036,109.657889
-100.790335,109.943496
-100.807655,110.228606
-100.825868,110.513278
-100.844838,110.797593
-100.864437,111.081636
-100.884544,111.365490
-100.905045,111.649234
-100.925839,111.932972
-100.946825,112.216791
-100.967903,112.500727
-100.988976,112.784821
-101.009949,113.069112
-101.030740,113.353632
-101.051276,113.638401
-101.071492,113.923457
-101.091325,114.208832
-101.110721,114.494540
-101.129636,114.780603
-101.148042,115.067055
-101.165923,115.353862
-101.183273,115.640960
-101.200096,115.928340
-101.216401,116.215999
-101.232193,116.503915
-101.247484,116.792051
-101.262292,117.080407
-101.276622,117.368942
-101.290478,117.657607
-101.303868,117.946411
-101.316803,118.235323
-101.329292,118.524287
-101.341346,118.813305
-101.352977,119.102384
-101.364189,119.391476
-101.374988,119.680594
-101.385383,119.969716
-101.395379,120.258790
-101.404980,120.547838
-101.414190,120.836901
-101.423010,121.125931
-101.431441,121.414894
-101.439482,121.703791
-101.447134,121.992618
-101.454400,122.281388
-101.461280,122.570142
-101.467778,122.858884
-101.473895,123.147621
-101.479637,123.436392
-101.485004,123.725144
-101.489994,124.013870
-101.494603,124.302645
-101.498837,124.591413
-101.502694,124.880118
-101.506177,125.168847
-101.509290,125.457606
-101.512048,125.746359
-101.514456,126.035132
-101.516505,126.323951
-101.518195,126.612794
-101.519529,126.901674
-101.520509,127.190600
-101.521135,127.479533
-101.521404,127.768454
-101.521307,128.057369
-101.520839,128.346313
-101.520004,128.635298
-101.518815,128.924305
-101.517286,129.213361
-101.515436,129.502460
-101.513270,129.791547
-101.510775,130.080636
-101.507941,130.369767
-101.504775,130.658890
-101.501282,130.947974
-101.497469,131.237055
-101.493350,131.526115
-101.488939,131.815108
-101.484244,132.104070
-101.479270,132.393015
-101.474031,132.681908
-101.468542,132.970762
-101.462813,133.259572
-101.456856,133.548310
-101.450691,133.836983
-101.444335,134.125595
-101.437806,134.414155
-101.431123,134.702674
-101.424303,134.991147
-101.417363,135.279563
-101.410317,135.567903
-101.403177,135.856175
-101.395956,136.144352
-101.388673,136.432390
-101.381354,136.720337
-101.374023,137.008235
-101.366704,137.296082
-101.359417,137.583883
-101.352178,137.871605
-101.345006,138.159243
-101.337920,138.446831
-101.330934,138.734348
-101.324065,139.021801
-101.317338,139.309218
-101.310774,139.596614
-101.304381,139.883963
-101.298169,140.171256
-101.292154,140.458525
-101.286343,140.745776
-101.280743,141.032986
-101.275358,141.320180
-101.270191,141.607369
-101.265250,141.894387
-101.260552,142.180640
-101.256103,142.465783
-101.251911,142.750057
-101.248005,143.033615
-101.244425,143.316433
-101.241200,143.598672
-101.238358,143.880521
-101.235918,144.162031
-101.233888,144.443308
-101.232257,144.724490
-101.231016,145.005644
-101.230151,145.286826
-101.229633,145.568113
-101.229431,145.849560
-101.229511,146.131184
-101.229827,146.413014
-101.230333,146.695090
-101.230984,146.977450
-101.231745,147.260121
-101.232585,147.543102
-101.233471,147.826368
-101.234374,148.109918
-101.235280,148.393769
-101.236172,148.677947
-101.237029,148.962446
-101.237840,149.247253
-101.238596,149.532358
-101.239290,149.817730
-101.239915,150.103354
-101.240460,150.389226
-101.240916,150.675313
-101.241284,150.961612
-101.241565,151.248118
-101.241764,151.534802
-101.241884,151.821632
-101.241934,152.108578
-101.241917,152.395639
-101.241840,152.682810
-101.241705,152.970035
-101.241515,153.257210
-101.241262,153.544360
-101.240925,153.831601
-101.240481,154.118927
-101.239902,154.406303
-101.239134,154.693755
-101.238105,154.981280
-101.236738,155.268867
-101.234942,155.556547
-101.232635,155.844380
-101.229749,156.132383
-101.226241,156.420551
-101.222065,156.708894
-101.217157,156.997414
-101.211479,157.286094
-101.205027,157.574922
-101.197807,157.863924
-101.189833,158.153107
-101.181151,158.442449
-101.171846,158.731953
-101.162025,159.021656
-101.151819,159.311552
-101.141376,159.601632
-101.130867,159.891855
-101.120458,160.182132
-101.110293,160.472419
-101.100479,160.762685
-101.091063,161.052868
-101.082025,161.342923
-101.073310,161.632811
-101.064867,161.922500
-101.056650,162.212047
-101.048619,162.501507
-101.040734,162.790911
-101.032977,163.080309
-101.025356,163.369768
-101.017860,163.659357
-101.010477,163.949161
-101.003242,164.239253
-100.996204,164.529758
-100.989290,164.821014
-100.982339,165.113442
-100.975198,165.407362
-100.967724,165.702929
-100.959757,166.000287
-100.951176,166.299567
