x,y
-136.432272,174.135487
-136.716224,174.245785
-137.000384,174.354207
-137.284795,174.460628
-137.569490,174.564983
-137.854474,174.667232
-138.139694,174.767428
-138.425049,174.865757
-138.710343,174.962601
-138.995400,175.058469
-139.280325,175.154016
-139.565483,175.250042
-139.851025,175.347251
-140.136728,175.446320
-140.422022,175.548236
-140.706233,175.654097
-140.988802,175.764936
-141.269216,175.881684
-141.547069,176.004944
-141.822146,176.134978
-142.094250,176.271914
-142.363142,176.415815
-142.628583,176.566711
-142.890241,176.724759
-143.147582,176.890351
-143.399979,177.063834
-143.646843,177.245339
-143.887650,177.434915
-144.121958,177.632543
-144.349409,177.838076
-144.569644,178.051268
-144.782316,178.271886
-144.987018,178.499666
-145.183327,178.734231
-145.370923,178.975154
-145.549503,179.222036
-145.718709,179.474509
-145.878319,179.732141
-146.028502,179.994366
-146.169638,180.260563
-146.302026,180.530190
-146.425960,180.802826
-146.541728,181.078053
-146.649519,181.355434
-146.749536,181.634580
-146.842182,181.915091
-146.927979,182.196558
-147.007470,182.478652
-147.081294,182.761164
-147.150122,183.043864
-147.214605,183.326666
-147.275490,183.609773
-147.333743,183.893128
-147.390463,184.176460
-147.446634,184.459744
-147.503053,184.743110
-147.560270,185.026656
-147.618553,185.310510
-147.677909,185.594836
-147.738201,185.879703
-147.799238,186.165121
-147.860722,186.451175
-147.922218,186.737957
-147.983174,187.025494
-148.043056,187.313799
-148.101729,187.602950
-148.159336,187.893033
-148.215997,188.184111
-148.271856,188.476270
-148.327122,188.769628
-148.381920,189.064208
-148.436193,189.359889
-148.489751,189.656468
-148.542288,189.953738
-148.593416,190.251516
-148.642722,190.549641
-148.689804,190.847985
-148.734279,191.146448
-148.775780,191.444954
-148.813945,191.743434
-148.848429,192.041829
-148.878975,192.340096
-148.905414,192.638212
-148.927639,192.936159
-148.945607,193.233929
-148.959348,193.531499
-148.968996,193.828794
-148.974786,194.125721
-148.977036,194.422210
-148.976106,194.718178
-148.972382,195.013514
-148.966289,195.308286
-148.958229,195.602626
-148.948407,195.896688
-148.936937,196.190717
-148.924014,196.484955
-148.909877,196.779580
-148.894782,197.074752
-148.879083,197.370581
-148.863266,197.667092
-148.847857,197.964283
-148.833369,198.262184
-148.820336,198.560818
-148.809286,198.860092
-148.800645,199.159856
-148.794589,199.460011
-148.791034,199.760504
-148.789844,200.061265
-148.790880,200.362225
-148.793988,200.663314
-148.799010,200.964442
-148.805811,201.265559
-148.814310,201.566700
-148.824490,201.867994
-148.836306,202.169510
-148.849630,202.471256
-148.864250,202.773359
-148.879842,203.076022
-148.895964,203.379377
-148.912082,203.683637
-148.927562,203.989261
-148.941733,204.296645
-148.953960,204.605856
-148.963542,204.916433
-148.969604,205.227571
-148.971141,205.538745
-148.967210,205.849575
-148.957058,206.159338
-148.940081,206.467318
-148.915782,206.773128
